sample_old	sample_id
TCGA-EW-A1P8-01A-11R-A144-07	TCGA-EW-A1P8
TCGA-B6-A0WY-01A-11R-A109-07	TCGA-B6-A0WY
TCGA-AC-A6IV-01A-12R-A33J-07	TCGA-AC-A6IV
TCGA-AC-A2FK-01A-12R-A180-07	TCGA-AC-A2FK
TCGA-GM-A2DK-01A-21R-A180-07	TCGA-GM-A2DK
TCGA-E9-A5UO-01A-11R-A28M-07	TCGA-E9-A5UO
TCGA-AN-A0XP-01A-11R-A109-07	TCGA-AN-A0XP
TCGA-A7-A4SF-01A-11R-A266-07	TCGA-A7-A4SF
TCGA-B6-A0RO-01A-22R-A084-07	TCGA-B6-A0RO
TCGA-BH-A1ES-01A-11R-A137-07	TCGA-BH-A1ES
TCGA-EW-A6SB-01A-12R-A32P-07	TCGA-EW-A6SB
TCGA-Z7-A8R5-01A-42R-A41B-07	TCGA-Z7-A8R5
TCGA-AR-A0U4-01A-11R-A109-07	TCGA-AR-A0U4
TCGA-B6-A408-01A-12R-A24H-07	TCGA-B6-A408
TCGA-E2-A1B0-01A-11R-A12P-07	TCGA-E2-A1B0
TCGA-AC-A6IX-01A-12R-A32P-07	TCGA-AC-A6IX
TCGA-B6-A0RG-01A-11R-A056-07	TCGA-B6-A0RG
TCGA-PL-A8LY-01A-11R-A41B-07	TCGA-PL-A8LY
TCGA-E9-A24A-01A-11R-A169-07	TCGA-E9-A24A
TCGA-A1-A0SO-01A-22R-A084-07	TCGA-A1-A0SO
TCGA-E9-A1N4-01A-11R-A14M-07	TCGA-E9-A1N4
TCGA-AO-A03L-01A-41R-A056-07	TCGA-AO-A03L
TCGA-A7-A26J-01A-11R-A277-07	TCGA-A7-A26J
TCGA-V7-A7HQ-01A-11R-A33J-07	TCGA-V7-A7HQ
TCGA-GM-A3XL-01A-11R-A22U-07	TCGA-GM-A3XL
TCGA-E2-A1IU-01A-11R-A14D-07	TCGA-E2-A1IU
TCGA-D8-A1JE-01A-11R-A13Q-07	TCGA-D8-A1JE
TCGA-LL-A440-01A-11R-A24H-07	TCGA-LL-A440
TCGA-AO-A128-01A-11R-A10J-07	TCGA-AO-A128
TCGA-A2-A0T1-01A-21R-A084-07	TCGA-A2-A0T1
TCGA-D8-A1JC-01A-11R-A13Q-07	TCGA-D8-A1JC
TCGA-C8-A1HF-01A-11R-A137-07	TCGA-C8-A1HF
TCGA-BH-A5IZ-01A-11R-A27Q-07	TCGA-BH-A5IZ
TCGA-E9-A54X-01A-11R-A266-07	TCGA-E9-A54X
TCGA-AC-A2B8-01A-11R-A17B-07	TCGA-AC-A2B8
TCGA-D8-A1JM-01A-11R-A13Q-07	TCGA-D8-A1JM
TCGA-AN-A0XU-01A-11R-A109-07	TCGA-AN-A0XU
TCGA-AR-A5QN-01A-12R-A28M-07	TCGA-AR-A5QN
TCGA-JL-A3YW-01A-12R-A239-07	TCGA-JL-A3YW
TCGA-LL-A7SZ-01A-32R-A352-07	TCGA-LL-A7SZ
TCGA-BH-A204-01A-11R-A157-07	TCGA-BH-A204
TCGA-S3-AA12-01A-11R-A41B-07	TCGA-S3-AA12
TCGA-B6-A0RE-01A-11R-A056-07	TCGA-B6-A0RE
TCGA-A2-A0YD-01A-11R-A109-07	TCGA-A2-A0YD
TCGA-D8-A1XZ-01A-11R-A14M-07	TCGA-D8-A1XZ
TCGA-A7-A13F-01A-11R-A12P-07	TCGA-A7-A13F
