initial_alias	converted_alias	name
ENSG00000266690	hsa-mir-4274	MIR4274
ENSG00000207807	hsa-mir-95	MIR95
ENSG00000221275	hsa-mir-548i-2	MIR548I2
ENSG00000264931	hsa-mir-3138	MIR3138
ENSG00000207716	hsa-mir-572	MIR572
ENSG00000266240	hsa-mir-5091	MIR5091
ENSG00000207732	hsa-mir-218-1	MIR218-1
ENSG00000283281	hsa-mir-7978	MIR7978
ENSG00000207697	hsa-mir-573	MIR573
ENSG00000283275	hsa-mir-4275	MIR4275
ENSG00000283207	hsa-mir-1255b-1	MIR1255B1
ENSG00000264319	hsa-mir-4801	MIR4801
ENSG00000207944	hsa-mir-574	MIR574
ENSG00000264621	hsa-mir-5591	MIR5591
ENSG00000263642	hsa-mir-4802	MIR4802
ENSG00000277388	hsa-mir-8053	MIR8053
ENSG00000264585	hsa-mir-4449	MIR4449
ENSG00000265829	hsa-mir-548ag-1	MIR548AG1
ENSG00000221563	hsa-mir-1269a	MIR1269A
ENSG00000263445	hsa-mir-4450	MIR4450
ENSG00000283682	hsa-mir-548ah	MIR548AH
ENSG00000207746	hsa-mir-575	MIR575
ENSG00000266421	hsa-mir-4451	MIR4451
ENSG00000266515	hsa-mir-4452	MIR4452
ENSG00000263981	hsa-mir-5705	MIR5705
ENSG00000265213	hsa-mir-3684	MIR3684
ENSG00000273882	hsa-mir-8066	MIR8066
ENSG00000221265	hsa-mir-1255a	MIR1255A
ENSG00000207988	hsa-mir-576	MIR576
ENSG00000215961	hsa-mir-297	MIR297
ENSG00000199169	hsa-mir-367	MIR367
ENSG00000199145	hsa-mir-302d	MIR302D
ENSG00000207927	hsa-mir-302a	MIR302A
ENSG00000199102	hsa-mir-302c	MIR302C
ENSG00000284463	hsa-mir-302b	MIR302B
ENSG00000283193	hsa-mir-1243	MIR1243
ENSG00000275810	hsa-mir-8082	MIR8082
ENSG00000207931	hsa-mir-577	MIR577
ENSG00000284253	hsa-mir-1973	MIR1973
ENSG00000283550	hsa-mir-2054	MIR2054
ENSG00000265623	hsa-mir-3139	MIR3139
ENSG00000278438	hsa-mir-7849	MIR7849
ENSG00000221369	hsa-mir-548g	MIR548G
ENSG00000264274	hsa-mir-4799	MIR4799
ENSG00000264678	hsa-mir-3140	MIR3140
ENSG00000283792	hsa-mir-4453	MIR4453
ENSG00000264105	hsa-mir-3688-1	MIR3688-1
ENSG00000283379	hsa-mir-3688-2	MIR3688-2
ENSG00000283468	hsa-mir-4454	MIR4454
ENSG00000207559	hsa-mir-578	MIR578
ENSG00000278502	hsa-mir-6082	MIR6082
ENSG00000221296	hsa-mir-548t	MIR548T
ENSG00000265846	hsa-mir-4276	MIR4276
